//time estimation lower_bound upper_bound expectation
16.7068 0.00189456 0.00188375 0.00190537 0.00190019
16.7871 0.00187953 0.00186881 0.00189025 0.00188499
16.8675 0.00186429 0.00185364 0.00187494 0.00186991
16.9478 0.00184918 0.00183859 0.00185976 0.00185495
17.0281 0.00183439 0.00182386 0.00184492 0.00184011
17.1084 0.00181952 0.00180906 0.00182997 0.00182539
17.1888 0.00180477 0.0017944 0.00181514 0.00181078
17.2691 0.00179025 0.00177996 0.00180054 0.0017963
17.3494 0.00177609 0.00176588 0.00178629 0.00178193
17.4297 0.00176209 0.00175196 0.00177222 0.00176767
17.51 0.0017477 0.00173769 0.00175772 0.00175353
17.5904 0.0017338 0.00172385 0.00174375 0.0017395
17.6707 0.0017199 0.00171001 0.00172978 0.00172559
17.751 0.00170608 0.00169626 0.00171591 0.00171178
17.8313 0.00169264 0.0016829 0.00170239 0.00169809
17.9116 0.00167916 0.00166948 0.00168884 0.0016845
17.992 0.00166548 0.00165586 0.0016751 0.00167103
18.0723 0.00165176 0.0016422 0.00166131 0.00165766
18.1526 0.00163868 0.0016292 0.00164816 0.0016444
18.2329 0.00162545 0.00161605 0.00163485 0.00163124
18.3133 0.0016124 0.00160306 0.00162174 0.00161819
18.3936 0.00159934 0.00159006 0.00160861 0.00160525
18.4739 0.00158667 0.00157743 0.00159591 0.00159241
18.5542 0.00157399 0.00156482 0.00158316 0.00157967
18.6345 0.0015615 0.0015524 0.00157061 0.00156703
18.7149 0.00154913 0.00154008 0.00155817 0.00155449
18.7952 0.001537 0.00152802 0.00154598 0.00154206
18.8755 0.0015249 0.00151597 0.00153382 0.00152972
18.9558 0.00151266 0.0015038 0.00152153 0.00151748
19.0361 0.00150058 0.00149178 0.00150937 0.00150534
19.1165 0.0014888 0.00148006 0.00149753 0.0014933
19.1968 0.00147672 0.00146804 0.00148539 0.00148135
19.2771 0.00146507 0.00145645 0.00147368 0.0014695
19.3574 0.00145357 0.001445 0.00146214 0.00145775
19.4378 0.00144184 0.00143335 0.00145034 0.00144609
19.5181 0.00143025 0.00142182 0.00143867 0.00143452
19.5984 0.00141877 0.00141041 0.00142713 0.00142304
19.6787 0.00140717 0.00139888 0.00141545 0.00141166
19.759 0.00139578 0.00138754 0.00140402 0.00140036
19.8394 0.00138476 0.0013766 0.00139293 0.00138916
19.9197 0.00137376 0.00136565 0.00138186 0.00137805
20 0.00136271 0.00135466 0.00137075 0.00136702
