//tau lambda mean lower_bound upper_bound
0.625173 8.479 0.588608 0.5745 0.602716
0.630957 8.544 0.568106 0.554668 0.581543
0.636796 8.551 0.572474 0.558764 0.586183
0.642688 8.585 0.568451 0.554534 0.582368
0.648634 8.619 0.562747 0.549015 0.57648
0.654636 8.583 0.56276 0.549652 0.575867
0.660693 8.631 0.568929 0.555411 0.582446
0.666807 8.645 0.557699 0.544147 0.571251
0.672977 8.6 0.557585 0.544069 0.571101
0.679204 8.693 0.542122 0.52869 0.555554
0.685488 8.706 0.538219 0.525037 0.5514
0.691831 8.739 0.543635 0.530495 0.556775
0.698232 8.695 0.560845 0.547504 0.574187
0.704693 8.75 0.536134 0.522823 0.549445
0.711214 8.763 0.536911 0.523809 0.550014
0.717794 8.774 0.517848 0.505386 0.53031
0.724436 8.755 0.538126 0.524835 0.551416
0.731139 8.743 0.539263 0.526001 0.552525
0.737904 8.805 0.53279 0.519539 0.54604
0.744732 8.817 0.514566 0.501421 0.527711
0.751623 8.852 0.528394 0.515241 0.541547
0.758578 8.786 0.528401 0.515194 0.541609
0.765597 8.845 0.518875 0.505948 0.531802
0.772681 8.865 0.515996 0.502624 0.529368
0.77983 8.862 0.51019 0.497515 0.522865
0.787046 8.87 0.510971 0.497968 0.523974
0.794328 8.887 0.502523 0.489688 0.515358
0.801678 8.889 0.495982 0.483186 0.508778
0.809096 8.912 0.496522 0.483565 0.50948
0.816582 8.869 0.50179 0.488954 0.514625
0.824138 8.901 0.488934 0.476249 0.501618
0.831764 8.91 0.486282 0.473976 0.498589
0.83946 8.932 0.481006 0.46842 0.493592
0.847227 8.937 0.485275 0.472863 0.497686
0.855067 8.91 0.484914 0.472634 0.497194
0.862979 8.936 0.477714 0.465272 0.490156
0.870964 8.922 0.484896 0.471859 0.497933
0.879023 8.945 0.480039 0.467199 0.492879
0.887156 8.955 0.48686 0.474055 0.499664
0.895365 8.937 0.478686 0.46644 0.490932
0.903649 8.946 0.46363 0.451326 0.475933
0.912011 8.943 0.465603 0.45317 0.478035
0.92045 8.962 0.470054 0.457839 0.48227
0.928966 8.972 0.45465 0.442745 0.466556
0.937562 8.967 0.462787 0.450908 0.474666
0.946237 8.961 0.449827 0.437912 0.461742
0.954993 8.985 0.447608 0.436238 0.458978
0.963829 8.978 0.456212 0.444317 0.468107
0.972747 8.981 0.441927 0.430013 0.453842
0.981748 8.979 0.447273 0.435146 0.459401
0.990832 8.993 0.446649 0.434834 0.458463
1 8.979 0.445929 0.434557 0.4573
1.00925 8.984 0.437204 0.425427 0.448982
1.01859 8.984 0.451947 0.440179 0.463714
1.02802 8.983 0.434321 0.422603 0.446039
1.03753 8.986 0.42295 0.411566 0.434334
1.04713 8.991 0.439756 0.427938 0.451573
1.05682 8.987 0.420123 0.408752 0.431493
1.0666 8.99 0.419831 0.408434 0.431227
1.07647 8.988 0.425368 0.414058 0.436677
1.08643 8.986 0.419299 0.407806 0.430792
1.09648 8.995 0.414375 0.403022 0.425727
1.10662 8.988 0.419706 0.408565 0.430847
1.11686 8.988 0.410818 0.399655 0.421982
1.1272 8.995 0.400114 0.389493 0.410735
1.13763 8.999 0.403785 0.392875 0.414696
1.14815 8.989 0.405234 0.394212 0.416256
1.15878 8.995 0.390415 0.380249 0.40058
1.1695 8.998 0.394521 0.383761 0.405281
1.18032 8.999 0.394223 0.383757 0.404688
1.19124 8.998 0.396845 0.385896 0.407795
1.20226 8.996 0.390538 0.379946 0.40113
1.21339 9 0.382578 0.372281 0.392874
1.22462 9 0.378406 0.368919 0.387893
1.23595 9 0.379599 0.369174 0.390025
1.24738 9 0.373349 0.363143 0.383554
1.25893 8.998 0.379 0.368601 0.389399
1.27057 9 0.364834 0.354751 0.374917
1.28233 9 0.372934 0.36248 0.383388
1.2942 9 0.371789 0.361621 0.381957
1.30617 9 0.364115 0.354653 0.373577
1.31826 9 0.362887 0.353084 0.372689
1.33045 8.998 0.357694 0.348266 0.367121
1.34276 8.998 0.35379 0.344498 0.363082
1.35519 8.999 0.345399 0.336147 0.354651
1.36773 9 0.353931 0.344594 0.363269
1.38038 9 0.351429 0.341941 0.360917
1.39316 9 0.354365 0.345369 0.36336
1.40605 9 0.349071 0.339391 0.35875
1.41906 9 0.337173 0.328215 0.346131
1.43219 9 0.337453 0.328372 0.346533
1.44544 9 0.337502 0.32855 0.346455
1.45881 9 0.334751 0.325687 0.343815
1.47231 9 0.341371 0.332398 0.350344
1.48594 9 0.325484 0.316919 0.334049
1.49968 9 0.327253 0.31866 0.335847
1.51356 9 0.319338 0.310868 0.327807
1.52757 9 0.330012 0.32103 0.338995
1.5417 9 0.321823 0.313543 0.330102
1.55597 9 0.323689 0.314902 0.332477
1.57036 9 0.325971 0.317104 0.334838
1.58489 9 0.317354 0.30852 0.326187
1.59956 9 0.305026 0.29753 0.312522
1.61436 9 0.308419 0.300115 0.316723
1.6293 9 0.312289 0.303491 0.321088
1.64437 9 0.310246 0.301626 0.318866
1.65959 9 0.298193 0.290771 0.305615
1.67494 9 0.30529 0.297232 0.313348
1.69044 9 0.298697 0.290921 0.306473
1.70608 9 0.296533 0.288739 0.304327
1.72187 9 0.296047 0.288462 0.303632
1.7378 9 0.290547 0.283201 0.297894
1.75388 9 0.294209 0.286429 0.30199
1.77011 9 0.285108 0.278092 0.292124
1.78649 9 0.279125 0.271981 0.286269
1.80302 9 0.286608 0.279241 0.293974
1.8197 9 0.281411 0.274184 0.288639
1.83654 9 0.278308 0.271031 0.285585
1.85353 9 0.284407 0.277096 0.291718
1.87068 9 0.277626 0.270487 0.284766
1.88799 9 0.275157 0.267931 0.282384
1.90546 9 0.274148 0.267181 0.281114
1.92309 9 0.268408 0.26165 0.275167
1.94089 9 0.273023 0.265513 0.280534
1.95884 9 0.265035 0.25837 0.271701
1.97697 9 0.262729 0.256486 0.268973
1.99526 9 0.259435 0.253084 0.265785
