//tau lambda mean lower_bound upper_bound
0.288403 3.777 0.760255 0.746925 0.773586
0.291072 3.76 0.76896 0.755677 0.782243
0.293765 3.763 0.761736 0.74808 0.775392
0.296483 3.758 0.762479 0.748863 0.776096
0.299226 3.787 0.764392 0.750907 0.777877
0.301995 3.812 0.754971 0.741089 0.768853
0.304789 3.843 0.742547 0.729074 0.756021
0.30761 3.835 0.739517 0.725715 0.75332
0.310456 3.845 0.757883 0.744369 0.771396
0.313329 3.811 0.752893 0.739359 0.766427
0.316228 3.815 0.750908 0.737263 0.764553
0.319154 3.844 0.746489 0.732824 0.760155
0.322107 3.851 0.757828 0.744294 0.771362
0.325087 3.851 0.730338 0.716367 0.74431
0.328095 3.864 0.74919 0.735558 0.762823
0.331131 3.886 0.737877 0.724188 0.751567
0.334195 3.892 0.733126 0.719496 0.746756
0.337287 3.864 0.728591 0.714575 0.742606
0.340408 3.89 0.73093 0.71729 0.74457
0.343558 3.912 0.73753 0.724024 0.751036
0.346737 3.878 0.725395 0.711576 0.739214
0.349945 3.883 0.72587 0.711795 0.739946
0.353183 3.88 0.724087 0.710235 0.737939
0.356451 3.884 0.724429 0.710715 0.738143
0.359749 3.912 0.712776 0.698924 0.726629
0.363078 3.903 0.718595 0.704493 0.732698
0.366438 3.909 0.710219 0.696463 0.723975
0.369828 3.91 0.709627 0.695571 0.723683
0.37325 3.913 0.706368 0.692464 0.720272
0.376704 3.912 0.70979 0.69608 0.7235
0.380189 3.927 0.701614 0.687602 0.715626
0.383707 3.937 0.697854 0.683877 0.711831
0.387258 3.929 0.70429 0.6906 0.71798
0.390841 3.942 0.702543 0.688596 0.71649
0.394457 3.939 0.701545 0.687483 0.715607
0.398107 3.944 0.692944 0.67902 0.706868
0.401791 3.947 0.691986 0.678094 0.705878
0.405509 3.953 0.678022 0.66413 0.691914
0.409261 3.953 0.692799 0.678856 0.706743
0.413048 3.959 0.67804 0.664344 0.691735
0.416869 3.965 0.670604 0.656693 0.684514
0.420727 3.957 0.683328 0.669552 0.697103
0.42462 3.948 0.690735 0.676642 0.704828
0.428549 3.954 0.684052 0.670029 0.698074
0.432514 3.96 0.682375 0.668321 0.696429
0.436516 3.956 0.682054 0.66843 0.695679
0.440555 3.957 0.671528 0.657387 0.68567
0.444631 3.961 0.668261 0.654527 0.681994
0.448745 3.963 0.666933 0.652926 0.68094
0.452898 3.962 0.662341 0.648274 0.676408
0.457088 3.98 0.658546 0.644587 0.672506
0.461318 3.96 0.681731 0.667844 0.695618
0.465586 3.974 0.66104 0.646962 0.675118
