//tau lambda mean lower_bound upper_bound
0.144544 3 0.997992 0.997974 0.99801
0.145881 3 0.997884 0.997865 0.997903
0.147231 3 0.997734 0.997715 0.997753
0.148594 3 0.997597 0.997576 0.997617
0.149968 3 0.997439 0.997417 0.997462
0.151356 3 0.997273 0.99725 0.997297
0.152757 3 0.997113 0.997088 0.997138
0.15417 3 0.996926 0.996901 0.996952
0.155597 3 0.996742 0.996713 0.996771
0.157036 3 0.99652 0.99649 0.996551
0.158489 3 0.996377 0.996346 0.996408
0.159956 3 0.996136 0.996101 0.99617
0.161436 3 0.995874 0.995838 0.995911
0.16293 3 0.995676 0.995638 0.995714
0.164437 3 0.995384 0.995344 0.995424
0.165959 3 0.995153 0.995111 0.995195
0.167494 3 0.994882 0.99484 0.994924
0.169044 3 0.994561 0.994512 0.99461
0.170608 3 0.994217 0.994167 0.994267
0.172187 3 0.993917 0.993864 0.99397
0.17378 3 0.993588 0.993533 0.993642
0.175388 3 0.993294 0.993233 0.993356
0.177011 3 0.992874 0.992812 0.992936
0.178649 3 0.992552 0.992487 0.992617
0.180302 3 0.992116 0.992046 0.992186
0.18197 3 0.991738 0.991668 0.991808
0.183654 3 0.991258 0.99118 0.991335
0.185353 3 0.990866 0.990786 0.990947
0.187068 4 0.990506 0.990424 0.990589
0.188799 4 0.989864 0.989769 0.98996
0.190546 4 0.989413 0.989321 0.989505
0.192309 4 0.988994 0.988894 0.989093
0.194089 4 0.988396 0.988298 0.988494
0.195884 4 0.987769 0.987662 0.987876
0.197697 4 0.987286 0.987178 0.987394
0.199526 4 0.98661 0.986496 0.986724
0.201372 4 0.985973 0.985845 0.9861
0.203236 4 0.985271 0.985142 0.985399
0.205116 4 0.98473 0.984595 0.984865
0.207014 4 0.983985 0.983848 0.984122
0.20893 4 0.983311 0.983166 0.983456
0.210863 4 0.98238 0.982223 0.982536
0.212814 4 0.98173 0.981569 0.98189
0.214783 4 0.980958 0.980797 0.981118
0.21677 4 0.980281 0.980114 0.980447
0.218776 4 0.979288 0.979116 0.979461
0.2208 4 0.978358 0.978169 0.978547
0.222844 4 0.977289 0.977093 0.977484
0.224905 4 0.97647 0.976278 0.976662
0.226986 4 0.975767 0.975562 0.975973
0.229087 4 0.974757 0.974544 0.97497
0.231206 4 0.973717 0.973484 0.973951
0.233346 4 0.97273 0.972494 0.972966
0.235505 4 0.971443 0.971201 0.971686
0.237684 4 0.970281 0.970028 0.970535
0.239883 4 0.969157 0.968888 0.969427
0.242103 4 0.967926 0.967652 0.9682
0.244343 4 0.966981 0.966703 0.96726
0.246604 4 0.965602 0.965315 0.965889
0.248886 5 0.96417 0.96387 0.964471
0.251189 5 0.96295 0.962648 0.963252
0.253513 5 0.961677 0.96136 0.961993
0.255859 5 0.960517 0.960191 0.960842
0.258226 5 0.958857 0.958511 0.959203
0.260615 5 0.95747 0.957109 0.957831
0.263027 5 0.955827 0.955451 0.956203
0.265461 5 0.954498 0.954123 0.954874
0.267917 5 0.952306 0.951916 0.952696
0.270396 5 0.951409 0.951015 0.951802
0.272898 5 0.949664 0.949234 0.950094
0.275423 5 0.947626 0.947189 0.948064
0.277971 5 0.946281 0.945837 0.946724
0.280543 5 0.944654 0.944197 0.945111
0.283139 5 0.942622 0.942173 0.943071
0.285759 5 0.940689 0.940203 0.941176
0.288403 5 0.939364 0.938863 0.939864
0.291072 5 0.937283 0.936765 0.937801
0.293765 5 0.935143 0.934618 0.935669
0.296483 5 0.932937 0.932407 0.933466
0.299226 5 0.931958 0.931411 0.932506
0.301995 5 0.928691 0.928142 0.92924
0.304789 5 0.926531 0.925952 0.92711
0.30761 5 0.925031 0.924464 0.925597
0.310456 5 0.922312 0.921691 0.922933
0.313329 6 0.920235 0.919615 0.920856
0.316228 6 0.918113 0.917481 0.918745
0.319154 6 0.915677 0.915023 0.916332
0.322107 6 0.913315 0.912612 0.914018
0.325087 6 0.910841 0.910148 0.911533
0.328095 6 0.908719 0.907992 0.909446
0.331131 6 0.906956 0.906238 0.907675
0.334195 6 0.903638 0.90287 0.904406
0.337287 6 0.90153 0.900771 0.90229
0.340408 6 0.898193 0.897419 0.898967
0.343558 6 0.895856 0.895066 0.896646
0.346737 6 0.893434 0.892612 0.894256
0.349945 6 0.89008 0.889247 0.890912
0.353183 6 0.887634 0.886775 0.888493
0.356451 6 0.885315 0.884447 0.886183
0.359749 6 0.882277 0.881397 0.883156
0.363078 6 0.879452 0.878565 0.88034
0.366438 6 0.877184 0.876266 0.878101
0.369828 6 0.874733 0.873811 0.875656
0.37325 6 0.871004 0.870045 0.871964
0.376704 7 0.868272 0.867336 0.869208
0.380189 7 0.865308 0.864324 0.866292
0.383707 7 0.861892 0.860916 0.862868
0.387258 7 0.85852 0.857502 0.859539
0.390841 7 0.85621 0.855189 0.857232
0.394457 7 0.851899 0.850825 0.852974
0.398107 7 0.848991 0.847952 0.85003
0.401791 7 0.846327 0.845225 0.84743
0.405509 7 0.842079 0.840937 0.843222
0.409261 7 0.839379 0.838247 0.840511
0.413048 7 0.836821 0.835673 0.837969
0.416869 7 0.832759 0.831562 0.833956
0.420727 7 0.828682 0.827493 0.82987
